Timestamp,Command
2025-06-16 19:43,sftp upload test.txt sftpuser@exampleip:examplepwd:/uploads/test2.tx
2025-06-16 19:52,sftp download test2.txt sftpuser@exampleip:examplepwd:/uploads/test2.tx
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
2025-06-16 22:19,sftp upload <local_path> <user>@<host>:<password>:<remote_path>
